,trail_list,rating_list
0,Figueroa Mountain to Davy Brown Campsite Trail,4
1,Trail Canyon Falls,5
2,Mount Wilson via Chantry Flats,4
3,Big Pine Flat Trail,5
4,Trans-Catalina Trail,5
5,Trail Canyon Falls,5
6,Dripping Springs Campground Trail,5
7,Cougar Crest Trail ,5
8,Dripping Springs Campground Trail,4
9,PCT: CA Section N - Belden to Burney Falls State park,5
10,Wild Horse Trail,5
11,Trail Canyon Falls,5
12,Lost Horse Mine Loop Trail,4
13,Hood Mountain Trail to Panoramic Ranch Trail Loop,5
14,Otay Mountain,4
15,Trail Canyon Falls,5
16,Lost Horse Mine Loop Trail,3
17,Eagle Rock via the PCT,4
18,Vivian Creek Trail to San Gorgonio Peak,5
19,Marion Mountain to San Jacinto,5
